TÊN ĐỊA DANH;Mã địa danh
Huyện Diên Khánh;56.574
Huyện Khánh Sơn;56.575
Huyện Trường Sa;56.576
Tỉnh Ninh Thuận;58
Thành phố Phan Rang-Tháp Chàm;58.582
Huyện Bác Ái;58.584
Huyện Ninh Sơn;58.585
Huyện Ninh Hải;58.586
Huyện Ninh Phước;58.587
Huyện Thuận Bắc;58.588
Huyện Thuận Nam;58.589
Tỉnh Bình Thuận;60
Thành phố Phan Thiết;60.593
Thị xã La Gi;60.594
Huyện Tuy Phong;60.595
Huyện Bắc Bình;60.596
Huyện Hàm Thuận Bắc;60.597
Huyện Hàm Thuận Nam;60.598
Huyện Tánh Linh;60.599
Huyện Đức Linh;60.600
Huyện Hàm Tân;60.601
Huyện Phú Quí;60.602
Tỉnh Kon Tum;62
Thành phố Kon Tum;62.608
Huyện Đắk Glei;62.610
Huyện Ngọc Hồi;62.611
Huyện Đắk Tô;62.612
Huyện Kon Plông;62.613
Huyện Kon Rẫy;62.614
Huyện Đắk Hà;62.615
Huyện Sa Thầy;62.616
Huyện Tu Mơ Rông;62.617
Huyện Ia H' Drai;62.618
Tỉnh Gia Lai;64
Thành phố Pleiku;64.622
Thị xã An Khê;64.623
Thị xã Ayun Pa;64.624
Huyện KBang;64.625
Huyện Đăk Đoa;64.626
Huyện Chư Păh;64.627
Huyện Ia Grai;64.628
Huyện Mang Yang;64.629
Huyện Kông Chro;64.630
Huyện Đức Cơ;64.631
Huyện Chư Prông;64.632
Huyện Chư Sê;64.633
Huyện Đăk Pơ;64.634
Huyện Ia Pa;64.635
Huyện Krông Pa;64.637
Huyện Phú Thiện;64.638
Huyện Chư Pưh;64.639
Tỉnh Đắk Lắk;66
Thành phố Buôn Ma Thuột;66.643
Thị Xã Buôn Hồ;66.644
Huyện Ea H'leo;66.645
Huyện Ea Súp;66.646
Huyện Buôn Đôn;66.647
Huyện Cư M'gar;66.648
Huyện Krông Búk;66.649
Huyện Krông Năng;66.650
Huyện Ea Kar;66.651
Huyện M'Đrắk;66.652
Huyện Krông Bông;66.653
Huyện Krông Pắc;66.654
Huyện Krông A Na;66.655
Huyện Lắk;66.656
Huyện Cư Kuin;66.657
Tỉnh Đắk Nông;67
Thị xã Gia Nghĩa;67.660
Huyện Đăk Glong;67.661
Huyện Cư Jút;67.662
Huyện Đắk Mil;67.663
Huyện Krông Nô;67.664
Huyện Đắk Song;67.665
Huyện Đắk R'Lấp;67.666
Huyện Tuy Đức;67.667
Tỉnh Lâm Đồng;68
Thành phố Đà Lạt;68.672
Thành phố Bảo Lộc;68.673
Huyện Đam Rông;68.674
Huyện Lạc Dương;68.675
Huyện Lâm Hà;68.676
Huyện Đơn Dương;68.677
Huyện Đức Trọng;68.678
Huyện Di Linh;68.679
Huyện Bảo Lâm;68.680
Huyện Đạ Huoai;68.681
Huyện Đạ Tẻh;68.682
Huyện Cát Tiên;68.683
Tỉnh Bình Phước;70
Thị xã Phước Long;70.688
Thị xã Đồng Xoài;70.689
Thị xã Bình Long;70.690
